Reboot Counts for Device,
,
Caption,Counts
BCHSL12-Gate-3.bch.chevrontexaco.net,2
bchra2-mini-pod.bch.chevrontexaco.net,2
ESEPIN-TRNARND-DIST.ese.pri,2
BCHVGA6.BCH.chevrontexaco.net,2
PCIFL2SL1.PCIFL2.chevrontexaco.net,2
R-NBLX-CO-BD_MARKHAM-SCADA-1.NBLENERGY.com,2
BCHSL24-ToolRoom.bch.chevrontexaco.net,2
BCHSL15-First_Aid.bch.chevrontexaco.net,2
BCHSL17-Zachry-Lunch-Room.bch.chevrontexaco.net,2
R-NBLX-CO-EP_LACT_LD01-SCADA-1.NBLENERGY.com,2
MDOS-B5FCIDF-SW1.NBLENERGY.COM,2
BCOSL19.BCO.chevrontexaco.net,2
MDOS-B6APT-SW1.nblenergy.com,2
X-NBLX-COR-CGF-HMIC-1.nblenergy.com,2
PCIFL2RA1.PCIFL2.chevrontexaco.net,2
BCHSL38-Zachary-Trailer.bch.chevrontexaco.net,2
POROR1RA2.POROR1.chevrontexaco.net,2
poror1wc-01,2
X-GRE-IDF-1249-1.nblenergy.com,2
X-GRE-IDF-2442-1.nblenergy.com,2
X-GRE-IDF-2207-1.NBLENERGY.com,2
X-GRE-MDF-Rack0-1.nblenergy.com,2
R-GRE-VGW-1.nblenergy.com,2
R-NBLX-CO-GCI_LACT_DSU33-SCADA-1.NBLENERGY.com,2
X-GRE-MDF-ICSBREAKOUT-1.nblenergy.com,2
X-GRE-ICS-IDF-1401-1.nblenergy.com,2
BOGaswBOD-2960.bog.chevrontexaco.net,2
SAN520-MDA2R1-BP87-OCORE2B-HPC,2
WellOps030SW1,2
R-NBLX-CO-GWR-70s-RANCH-SCADA-1.NBLENERGY.com,2
US-TX-PADC-SEC-SL1.PADC.chevrontexaco.net,2
X-GRE-IDF-1401-1.nblenergy.com,2
WellOps003SW2 (DSM),2
MCORA1.MCO.chevrontexaco.net,2
GPA3SL2.gpa3.chevrontexaco.net,2
US-CO-MCO-SL1,2
BIR240SL1.BIR240.chevrontexaco.net,2
GPA3ra1.GPA3.chevrontexaco.net,2
R-NBLX-CO-GCI_LACT_DSU42_45-SCADA-1.NBLENERGY.com,2
X-GRE-IDF-2207-SEC-1.nblenergy.com,2
SLC235SL1-TRAILER8.slc235.chevron.net,2
AU-PER-PERAT2-RB04,2
POROR1SL1.poror1.chevrontexaco.net,2
POROR1VGA1.POROR1.chevrontexaco.net,2
POROR1SL3.poror1.chevrontexaco.net,2
HO1401SL3.HOU150.chevrontexaco.net,2
RIC981SL1.ric100.chevrontexaco.net,2
R-NBLX-OMICRON-ICS-DMVPN-1.nblenergy.com,2
R-GRE-DMVPN-2.nblenergy.com,2
POROR1SL4.poror1.chevrontexaco.net,2
RIC100SL-61-4142.ric100.chevrontexaco.net,2
BIR240RA1.BIR240.chevrontexaco.net,2
POROR1RA1.POROR1.chevrontexaco.net,2
EMPSL9.EMP.chevrontexaco.net,2
PASMSSWA-SHP-B9.pasms.chevron.net,2
US-TX-F08820-R01.PSD.chevrontexaco.net,2
X-MDOS-B3WHIDF-SW1.nblenergy.com,2
X-AOT-STG-SEC-1.nblenergy.com,2
US-OR-POROR1-SL09.poror1.chevrontexaco.net,2
R-AZURE-PRODA-DMVPN-1.nblenergy.com,1
SAN520-D1P04B-CB36-PL23B,1
R-OMEGA-ICS-DMVPN-1.nblenergy.com,1
CHVPK-H2CR-R924-MS42.gmn0.chevron.com,1
PASMSSWA-NDE-LAB.pasms.chevron.net,1
NA-US-PASMS-NDE-BRNHRT-SL1,1
F08820_VGAlky.psdntns1.psd.chevrontexaco.net,1
PCHSL2.pch.chevrontexaco.net,1
PASMSSWA2-NDE-ZACHRY.pasms.chevron.net,1
PASMSSWA-NDE.pasms.chevron.net,1
PASMSVGW-NDE-LAB.pasms.chevron.net,1
PASMSVGW2-NDE-LAB.pasms.chevron.net,1
US-TX-PADC-TTL-SL1.PADC.chevrontexaco.net,1
SJ102SL2.SJ102.chevrontexaco.net,1
ric841sl-rlp-calo-urent.ric841.chevrontexaco.net,1
ric841sl-rlp-260-calo.ric841.chevrontexaco.net,1
R-SKYKING47-ICS-DMVPN-1.nblenergy.com,1
LOMAMXwc-01,1
PCHSL3.pch.chevrontexaco.net,1
LOMAMXRL1.LOMAMX.chevrontexaco.net,1
LOMAMXSL3,1
LOMAMXSL5.lomamx.chevrontexaco.net,1
ric841sl-rlp-112-calo.ric841.chevrontexaco.net,1
PASMSSWD-NDE-LAB.pasms.chevron.net,1
